composition,Tc_exp,contains_re
Al1.05Si0.15Fe2B2,300.0,False
Al1.1Fe2B2,275.0,False
Al1.2(Fe0.95Ni0.05)2B2,288.0,False
Al1.2(Fe0.9Ni0.1)2B2,291.0,False
Al1.2Fe2(B0.9C0.1)2,305.0,False
Al1.2Fe2B2,284.0,False
Al1.3Fe0.7Y,19.0,True
Al1.5Co11.5La,1044.0,True
Al1.5Co15.5Pr2,976.0,True
Al100Er43Gd7,40.0,True
Al100Er47Gd3,13.0,True
Al101Ni101Tb100,47.0,True
Al10Dy2Er3,32.0,True
Al10Dy3Er2,49.0,True
Al10Er3Gd7Ni10,31.5,True
Al10Eu2La3,4.0,True
Al10Fe2Tb,17.6,True
Al10Fe7Ho2,170.0,True
Al10Fe7Y2,112.0,True
Al10La1Pr4,30.0,True
Al10Pr4Y1,32.0,True
Al11Ce0.15La2.85,1.3,True
Al11Ce2.1La0.9,3.7,True
Al11Ce2.7La0.3,5.4,True
Al11Ce3,5.2,True
Al11Dy50,50.0,True
Al11Er10Ni9,16.0,True
Al11Er5,11.0,True
Al11Gd100Ni189,92.0,True
Al173Nd100Ni27,25.0,True
Al179Ni21Tb100,84.0,True
Al17Er100Ni183,30.0,True
Al17Er10Ni3,28.5,True
Al19.6Cr20.1Fe20.4Co20.3Ni19.8,913.15,False
Al197Er100Ni3,22.0,True
Al19Er10Ni1,33.0,True
Al1C1Er3,4.15,True
Al1Cu1Dy1,35.0,True
Al1Cu1Er1,17.0,True
Al1Cu1Gd1,86.0,True
Al1Cu1Ho1,23.0,True
Al1Cu1Nd1,25.0,True
Al1Cu1Pr1,36.0,True
Al1Cu1Tb1,52.0,True
Al1Cu1Tm1,13.0,True
Al1Dy1Fe1,134.75,True
Al1Dy1Ni1,39.0,True
Al1Dy6Fe9O24,490.0,True
Al1Er1Fe1,56.0,True
Al1Er1Ga1,3.0,True
Al1Er1Ni1,15.5,True
Al1Er3Fe4O12,420.0,True
Al1Fe10Sm1Ti1,562.0,True
Al1Fe1Gd1,260.0,True
Al1Fe1Ho1,92.0,True
Al1Fe1Lu1,39.0,True
Al1Fe1Mg1O4,273.0,False
Al1Fe1O3,300.0,False
Al1Fe1Tm1,38.0,True
Al1Fe21Sm2Ti2,588.0,True
Al1Fe2O4,590.0,False
Al1Fe4Gd3O12,435.0,True
Al1Fe4O12Y3,430.0,True
Al1Fe4O15Y5,496.0,True
Al1Fe8Mn1O30Y10,512.0,True
Al1Fe9O30Y10,595.0,True
Al1Gd1Ni1,60.0,True
Al1Ho1Ni1,26.0,True
Al1Nd1Ni1,16.0,True
Al1Ni1Tb1,61.0,True
Al1Ni1Tm1,8.1,True
Al1Ni39Tb20,53.0,True
Al2.5Co10.5La,843.0,True
Al20Cr2Nd,1.7,True
Al20Dy1Er9,16.3,True
Al20Dy7Er3,45.5,True
Al20Eu1La9,11.0,True
Al20Fe2Gd,86.0,True
Al20Gd1La9,24.0,True
Al20NdRu2,1.9,True
Al20NdV2,1.805,True
Al20Pr1Y9,13.0,True
Al23Fe77O150,810.0,False
Al27Cu18Er55,11.0,True
Al2BCeRu2,13.0,True
Al2Ba1Fe10O19,618.0,False
Al2CFe15Y2,501.0,True
Al2Ce,8.0,True
Al2Ce2Co15,751.0,True
Al2Ce2Fe15,345.0,True
Al2Co10.5Fe4.5Ho2,908.0,True
Al2Co11La,957.0,True
Al2Co12Fe3Ho2,919.0,True
Al2Co13.5Fe1.5Ho2,930.0,True
Al2Co15Dy2,898.5,True
Al2Co15Er2,903.0,True
Al2Co15Gd2,922.0,True
Al2Co15Ho2,898.0,True
Al2Co15Nd2,888.0,True
Al2Co15Pr2,882.0,True
Al2Co15Sm2,904.0,True
Al2Co15Tb2,913.0,True
Al2Co15Tm2,887.0,True
Al2Co15Y2,895.0,True
Al2Co3Fe12Ho2,635.0,True
Al2Co6Fe9Ho2,773.0,True
Al2Co9Fe6Ho2,874.0,True
Al2Dy,62.5,True
Al2Dy3,90.5,True
Al2Er,13.5,True
Al2Eu3O6,10.0,True
Al2Eu5O8,6.0,True
Al2Fe10Gd1,498.0,True
Al2Fe15Ho2,409.5,True
Al2Fe15NY2,693.0,True
Al2Fe15Y2,399.0,True
Al2Fe1O4,9.5,False
Al2Fe3O15Y5,332.0,True
Al2Fe9Sm1Ti1,567.0,True
Al2Ga1,176.0,False
Al2Gd,170.0,True
Al2Gd3,287.0,True
Al2GdNi,39.0,True
Al2Ho,29.0,True
Al2Ho3,33.0,True
Al2Nd,68.0,True
Al2Nd5Ni8,16.0,True
Al2NdNi3,253.0,True
Al2Np,56.0,False
Al2Pr,34.0,True
Al2Sm,122.0,True
Al2Tb,116.0,True
Al2Tb3,190.0,True
Al2Tm,4.2,True
Al3.5Co9.5La,890.0,True
Al31Gd20Ni9,68.0,True
Al31Ho20Ni9,31.0,True
Al33Fe217Li50O400,1071.0,False
Al3Au10Mn7,314.0,False
Al3B6Co12Fe8,815.0,False
Al3B6Co16Fe4,623.0,False
Al3B6Co2,406.0,False
Al3B6Co20,409.0,False
Al3B6Fe8Ni12,285.0,False
Al3CFe14Y2,481.0,True
Al3Ce0.33Th0.67,5.0,True
Al3Ce0.67Th0.33,6.0,True
Al3Ce2Fe14,385.0,True
Al3Ce2Ge4,11.0,True
Al3Co10La,885.0,True
Al3Co14Dy2,727.0,True
Al3Co14Er2,743.0,True
Al3Co14Gd2,701.0,True
Al3Co14Ho2,738.0,True
Al3Co14Pr2,741.0,True
Al3Co14Y2,718.0,True
Al3Co6Fe6Cr2,1052.0,False
Al3Co7Fe7,1254.0,False
Al3Co8ErTi,760.0,True
Al3Fe14Ho2,423.0,True
Al3Fe14Mn3O60Y20,440.0,True
Al3Fe14Y2,423.0,True
Al3Fe19Sm2Ti2,546.0,True
Al3Fe7Gd6O24,187.5,True
Al3Np1,62.5,False
Al3Pd2U1,2.0,False
Al4.5Fe12.5Ho2,405.0,True
Al40Dy11Er9,39.3,True
Al40Dy17Er3,54.4,True
Al40La19Pr10,5.0,True
Al44Er25Ni6,27.0,True
Al45Mn55,635.0,False
Al46Er25Ni4,31.0,True
Al48Ni2Tb25,118.0,True
Al4Ba1Fe8O19,514.0,False
Al4Bi1Fe16O48Y11,430.0,True
Al4CFe13Y2,435.0,True
Al4Ce,9.0,True
