composition,Ms
BaTe(SO2)4,59531.62550282781
BaTi18Mn3O38,261332.0962372019
BaTi2(P2O7)2,65672.08398953678
BaTiCu4P4O17,108494.34462417307
BaTiFe2(SiO5)2,438554.8489292364
BaTlP3O11,68796.89415943489
BaU2I2O13,59686.38112764223
BaU2S5,192741.54850935636
BaU2Se5,170092.11282246752
BaU2Te5,139949.34382052068
BaUS3,129842.90615701045
BaUTe4,114004.64979667462
BaUTe6,64952.1985641879
BaV(AsO4)2,51298.88406736909
BaV(AsO5)2,134121.50866844217
BaV13O18,762616.3805402349
BaV2(CoO4)2,326276.8165322307
BaV2(CuO4)2,105359.6907674043
BaV2(P2O7)2,128450.94085878189
BaV2(PO5)2,90407.96744942994
BaV2Cu3(HO5)2,130217.14377942534
BaV2CuO7,56924.23605371777
BaV2H2(Se2O7)2,58125.6293277987
BaV2Ni3(HO5)2,257176.04178718585
BaV2O7,104027.77001382051
BaV2P4O17,59218.18870003668
BaV3O8,57049.85859553586
BaV4O9,220311.30856752628
BaV6O11,477272.3360054032
BaVO3,141588.96340615337
BaVOF4,87207.5386725771
BaVS3,79673.19720762252
BaVSe3,72064.42697072298
BaVSi2O7,61323.31544270922
BaZnFeF7,331350.24253835884
Be(BO2)4,122412.55276783848
Be(NF2)2,240948.66300224492
Be12Cr,164829.75331474256
Be12Fe,137074.84777760602
Be2BO4,136340.43287538816
Be2CoN2(O3F4)2,302991.44147482165
Be2Fe,753463.8838850517
Be2NiH20N2(O3F4)2,54292.28335736347
Be2P3NO10,83939.47738413463
Be3Al2Si6O19,53263.40768055178
Be3Fe4Si3SO12,523469.94636406755
Be3Fe4Si3SeO12,507721.7427836732
Be3Fe4Si3TeO12,492751.96463300835
Be3SiO6,180426.91376451973
Be3Zn2(NF6)2,221809.15159102136
Be4Si2O9,123242.57373661513
Be5Fe,332291.81059175945
BeAlSiO5,116029.4297689228
BeAsO5,281511.27460077946
BeCo,207766.65743957003
BeCr2O4,874914.6355010773
BeSO8,473549.2610883622
Bi,364000.0
Bi(CO2)3,186980.0171128826
Bi2(Br3N)3,145793.56947383666
Bi2(NCl3)3,155264.33538556722
Bi2SO7,69939.17484677369
BiI3O11,144092.2287554167
BiP4NO12,73126.32704318564
BiSeO6,129051.31872341361
BiW2(Br4O)2,66082.82294766635
BiW2(Cl4O)2,77035.47226120895
Br,94866.44051657846
BrO3,256364.9122828116
C,72921.09461789922
C(N2O)2,322582.4509652347
C2N3,274817.0958988478
C3N4O3,247365.90962612018
CIN2O7,248951.59261416915
CN,194461.99675297382
CN3Cl,178624.2637343928
CN4Cl,171924.45161135786
CNClO4,129234.69130235875
CNO,140275.49156864482
CS(NO)2,124742.92901139155
Ca(Al2Fe)4,284541.3657853047
Ca(Al5Cr)2,61325.5666600754
Ca(BO2)3,87722.10671245493
Ca(BO3)2,341481.8450320092
Ca(BO3)3,324022.22902350756
Ca(BO4)2,428093.67030930513
Ca(BO5)2,182203.2152302884
