,composition,filename,reference,DOI,la,ce,pr,nd,sm,gd,tb,dy,mn,ni,fe,co,b,c,lattice_a,lattice_c,lattice_v,nfu,muB,mu0Ms,mu0Ha,Tc,material_id
176,Pr2Fe14B,SagawaHirosawaEtal1987d,Japanes journal of applied physics 26 (1987) 785,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,0.881,1.227,,,,1.56,8.67,569.0,176
177,Pr2Fe14B,herbst1991,"Reviews of Modern Physics, Yol. 63, No. 4, October 1991",https://doi.org/10.1103/RevModPhys.63.819,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,0.88,1.223,9.470912e-28,4.223458099916882e+27,31.9,1.5701307846063337,7.5,565.0,177
179,Pr2Fe2Co12B,PedziwiatrYangWallace1986,Journal of Magnetism and Magnetic Materials 62 (1986) 29-3,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,1.0,0.0,0.866621621621621,1.19611928292346,8.983250953502945e-28,4.452730999839466e+27,22.7,1.1779565514327266,8.4,979.0,179
180,Pr2Fe4Co10B,PedziwiatrYangWallace1986,Journal of Magnetism and Magnetic Materials 62 (1986) 29-3,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,1.0,0.0,0.868581081081081,1.20171454837968,9.06613225333976e-28,4.412024762297604e+27,24.5,1.2597401787729636,6.7,958.0,180
181,Pr2Fe6Co8B,PedziwiatrYangWallace1986,Journal of Magnetism and Magnetic Materials 62 (1986) 29-3,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,1.0,0.0,0.871824324324324,1.2082297993893,9.183484695805068e-28,4.355645087345944e+27,26.2,1.3299359680435912,6.8,920.0,181
182,Pr2Fe7Co7B,PedziwiatrYangWallace1986,Journal of Magnetism and Magnetic Materials 62 (1986) 29-3,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,1.0,0.0,0.873986486486486,1.21069868995633,9.247950740438204e-28,4.3252825542304567e+27,27.3,1.3761129637101954,6.8,893.0,182
183,Pr2Fe8Co6B,PedziwiatrYangWallace1986,Journal of Magnetism and Magnetic Materials 62 (1986) 29-3,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,1.0,0.0,0.8746621621621619,1.21238401681058,9.275148701543079e-28,4.312599321814141e+27,27.8,1.3972073506130895,7.0,863.0,183
184,Pr2Fe9Co5B,PedziwiatrYangWallace1986,Journal of Magnetism and Magnetic Materials 62 (1986) 29-3,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,1.0,0.0,0.8764189189189189,1.21537840233772,9.33544452213972e-28,4.2847450815156086e+27,28.8,1.4381177025149887,7.2,831.0,184
185,Tb2Co14B,pedziwiatr1987,Journal of Magnetism and Magnetic Materials 67 (1987) 311-315 ,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.86,1.173,8.675508e-28,4.61068101141743e+27,6.17918454935622,0.3320268448678394,13.7148148148148,1033.0,185
186,Tb2Fe12Co2B,pedziwiatr1987,Journal of Magnetism and Magnetic Materials 67 (1987) 311-315 ,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,12.0,2.0,1.0,0.0,0.8738,1.1987,9.15239143628e-28,4.37044244430372e+27,13.8927038626609,0.707602142501413,20.118518518518496,752.0,186
188,Tb2Fe14B,SagawaHirosawaEtal1987d,Japanes journal of applied physics 26 (1987) 785,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,0.877,1.205,,,,0.664,22.0,620.0,188
189,Tb2Fe14B,MagnetizationandmagneticanisotropyofR2Fe14Bmeasuredonsinglecrystals,"J. Appl. Phys. 59 (3) 1 February 1986, 873",,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,0.877,1.205,9.268004449999999e-28,4.315923693800125e+27,,0.703,22.0,620.0,189
190,Tb2Fe14B,pedziwiatr1987,Journal of Magnetism and Magnetic Materials 67 (1987) 311-315 ,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,0.8764,1.2031,9.24073390576e-28,4.3286605163543246e+27,13.9484978540772,0.7036519933336561,13.7,646.0,190
191,Tb2Fe14B,herbst1991,"Reviews of Modern Physics, Yol. 63, No. 4, October 1991",https://doi.org/10.1103/RevModPhys.63.819,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,0.877,1.205,9.268004449999999e-28,4.315923693800125e+27,14.0,0.7041719946890777,22.0,620.0,191
192,Tb2Fe14B,AbacheOesterreicher1985," J. Appl. Phys. 57, 4112 (1985)", 10.1063/1.334635 ,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,0.8761,1.2034,9.236711261139999e-28,4.3305456746585767e+27,14.0,0.70655766926488,13.9,645.0,192
193,Tb2Fe14B,AbacheOesterreicher1986b,"J. Appl. Phys. 60, 3671 (1986)",10.1063/1.337585,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,0.8761,1.2034,9.236711261139997e-28,4.330545674658578e+27,18.2,0.9185249700443444,13.9,633.0,193
195,Tb2Fe2Co12B,pedziwiatr1987,Journal of Magnetism and Magnetic Materials 67 (1987) 311-315 ,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,12.0,1.0,0.0,0.8607,1.1785,8.730380914650001e-28,4.581701576488841e+27,7.30901287553648,0.3902675850710304,14.9074074074074,1035.0,195
196,Tb2Fe5Co9B,pedziwiatr1987,Journal of Magnetism and Magnetic Materials 67 (1987) 311-315 ,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,9.0,1.0,0.0,0.8641,1.1865,8.859225430650001e-28,4.5150674077683113e+27,9.443133047210301,0.4968866204123386,17.0074074074074,1001.0,196
197,Tb2Fe9Co5B,pedziwiatr1987,Journal of Magnetism and Magnetic Materials 67 (1987) 311-315 ,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,9.0,5.0,1.0,0.0,0.8698,1.1947,9.038527221879999e-28,4.425499754337196e+27,12.7070815450643,0.6553677909171159,20.274074074074,885.0,197
