,composition,filename,reference,DOI,la,ce,pr,nd,sm,gd,tb,dy,mn,ni,fe,co,b,c,lattice_a,lattice_c,lattice_v,nfu,muB,mu0Ms,mu0Ha,Tc,material_id
54,Nd0.4Pr1.6Co11Fe3B,Pourarian1987,Mat. Res. Soc. Symp. Proc. Voa. 96. r'1987 Materials Research Society,,0.0,0.0,1.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,1.0,0.0,0.8665,1.1965,8.983588221249998e-28,4.4525638324988033e+27,24.1,1.2505589031009994,6.6,970.0,54
55,Nd0.4Pr1.6Co14B,Pourarian1987,Mat. Res. Soc. Symp. Proc. Voa. 96. r'1987 Materials Research Society,,0.0,0.0,1.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.865,1.1885,8.892654125e-28,4.4980946563015007e+27,21.2,1.1113258256153844,11.8,989.0,55
58,Nd0.6Pr1.4Co14B,Pourarian1987,Mat. Res. Soc. Symp. Proc. Voa. 96. r'1987 Materials Research Society,,0.0,0.0,1.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.865,1.1885,8.892654125e-28,4.4980946563015007e+27,21.3,1.1165679285664003,11.0,991.0,58
59,Nd0.8La1.2Fe14B,NdLaFeB,"JOURNAL OF RARE EARTHS, Vol. 33, No. 9, Sep. 2015, P. 961",,1.2,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,,,,,,1.37163939453338,4.901480102188424,557.506534183192,59
60,Nd0.8Pr1.2Co14B,Pourarian1987,Mat. Res. Soc. Symp. Proc. Voa. 96. r'1987 Materials Research Society,,0.0,0.0,1.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.8649,1.1884,8.889850086839996e-28,4.49951344615064e+27,21.4,1.122163873045217,10.6,993.0,60
61,Nd1.2La0.8Fe14B,NdLaFeB,"JOURNAL OF RARE EARTHS, Vol. 33, No. 9, Sep. 2015, P. 961",,0.8,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,,,,,,1.44980374226465,6.058972989815884,564.970402500932,61
62,Nd1.2Pr0.8Co14B,Pourarian1987,Mat. Res. Soc. Symp. Proc. Voa. 96. r'1987 Materials Research Society,,0.0,0.0,0.8,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.8648,1.188,8.884802995200001e-28,4.5020694349227455e+27,21.7,1.1385415337850269,9.5,996.0,62
63,Nd1.4La0.6Fe14B,NdLaFeB,"JOURNAL OF RARE EARTHS, Vol. 33, No. 9, Sep. 2015, P. 961",,0.6,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,,,,,,1.48128617760387,6.199014080134775,569.622193134765,63
64,Nd1.5Ce0.5Fe14B,AbacheOesterreicher1986b,"J. Appl. Phys. 60, 3671 (1986)",10.1063/1.337578,0.0,0.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,0.8788,1.2156,9.38795043264e-28,4.260780911340149e+27,27.0,1.3406947945333152,4.4,562.0,64
66,Nd1.5Tb0.5Fe14B,AbacheOesterreicher1986b,"J. Appl. Phys. 60, 3671 (1986)",10.1063/1.337582,0.0,0.0,0.0,1.5,0.0,0.0,0.5,0.0,0.0,0.0,14.0,0.0,1.0,0.0,0.8773,1.213,9.3359186677e-28,4.284527471130424e+27,23.8,1.188384132454922,10.9,599.0,66
