composition,Tc_sim,Tc_exp,contains_rare_earth,use_for_emb
Al1.2Cr0.6Fe0.2Ni1O4,,350.0,False,True
Al1.2Fe1.8Ni0.2B2,,291.0,False,True
Al1.2Fe1.9Ni0.1B2,,288.0,False,True
Al1.2Fe2B1.8C0.2,,305.0,False,True
Al1.2Fe2B2,,284.0,False,True
Al1.2Zn0.5Fe0.8Ni0.5O4,,647.0,False,True
Al1.4Zn0.5Fe0.6Ni0.5O4,,643.0,False,True
Al1.5Fe0.5Ni1O4,,823.0,False,True
Al1.6Zn0.5Fe0.4Ni0.5O4,,641.0,False,True
Al1.75V0.25Fe1Co1Ni1,,456.0,False,True
Al1.7Fe72.9Si7.5Cu1.7B6Mo10.2,,584.0,False,True
Al1.8Zn0.5Fe0.2Ni0.5O4,,638.0,False,True
Al10.4Cr28.9Co49.8Si10.9,,413.0,False,True
Al10.7Cr24.6Co55.1Si9.6,,373.0,False,True
Al10.8Cr26Co51.8Si11.4,,459.0,False,True
Al10.9Cr24Co54.7Si10.4,,345.0,False,True
Al10Co11Ni29,,967.15,False,True
Al10Cr27.4Co51.2Si11.4,,434.0,False,True
Al11.1Cr25Co53.2Si10.7,,504.0,False,True
Al11.1Cr26.2Co50Si12.7,,509.0,False,True
Al11.1Cr27.2Co50.2Si11.5,,462.0,False,True
Al11.2Cr23.1Co55.1Si10.6,,429.0,False,True
Al11.8Cr24.8Co50.7Si12.7,,499.0,False,True
Al11.9Cr21Co54.9Si12.2,,443.0,False,True
Al11Cr21Co57Si11,,429.0,False,False
Al11Fe39,,907.0,False,True
Al12.2Cr23.6Co51.9Si12.3,,503.0,False,True
Al12.5Cr24.6Co50Si12.9,,531.0,False,True
Al12.8Cr21.1Co53.2Si12.9,,403.0,False,True
Al12Co49Ni39,,1028.15,False,True
Al12Cr21.8Co53.7Si12.5,,457.0,False,True
Al13.2Cr22.1Co53Si11.7,,468.0,False,True
Al13.4Cr23Co50.6Si13,,540.0,False,True
Al13.7Cr22.6Co50Si13.9,,564.0,False,True
Al13Fe3Cu4,,900.0,False,True
Al19.6Cr20.1Fe20.4Co20.3Ni19.8,,913.15,False,True
Al19Fe81,,826.575,False,True
Al1C0.0625N0.9375,875.0,,False,True
Al1C0.125N0.875,875.0,,False,True
Al1Co1.28Ni1.17,,269.0,False,True
Al1Cr0.5Fe0.5Co2,,910.0,False,True
Al1Cr0.5Fe0.5Ni1O4,,480.0,False,True
Al1Cr0.6Fe0.4Co2,,690.0,False,True
Al1Cr0.95Cu0.05Ge1,,108.0,False,True
Al1Cr0.95Fe0.05Ge1,,115.6,False,True
Al1Cr0.95Ni0.05Ge1,,133.0,False,True
Al1Cr0.9Fe2.1,,250.0,False,True
Al1Cr1.2Co1.8,,324.0,False,True
Al1Cr1.4Co1.6,,302.0,False,True
Al1Cr1.6Co1.4,,240.0,False,True
Al1Cr1.8Co1.2,,134.0,False,True
Al1Cr1Co1.25,,213.0,False,True
Al1Cr1Co1.5,,320.0,False,True
Al1Cr1Co1.75,,332.0,False,True
Al1Cr1Fe0.25Co1,,165.0,False,True
Al1Cr1Fe0.5Co1,,292.0,False,True
Al1Cr1Fe0.75Co1,,392.0,False,True
Al1Fe0.18Ni2.82,,198.12,False,True
Al1Fe0.36Ni2.64,,302.2,False,True
Al1Fe1Co0.5Cu0.5O4,,508.0,False,True
Al1Fe3C1.1,,292.0,False,True
Al1Fe3Ru0.25,,848.15,False,False
