Compound;Filename;Reference;DOI;La;Ce;Pr;Nd;Sm;Gd;Tb;Dy;Mn;Ni;Fe;Co;B;C;a;c;V;Nfu;muB;mu0Ms (T);mu0Ha (T);Tc (K)
Gd2Fe14B;AbacheOesterreicher1985; J. Appl. Phys. 57, 4112 (1985); 10.1063/1.334635 ;0;0;0;0;0;2;0;0;0;0;14;0;1;0;0.8773;1.2087;9.30282349023e-28;4.2997698539597945e+27;16.7;0.83683269022112772;3.1;661
Gd2Fe14B;AbacheOesterreicher1986b;J. Appl. Phys. 60, 3671 (1986);10.1063/1.337581;0;0;0;0;0;2;0;0;0;0;14;0;1;0;0.8773;1.2087;9.30282349023e-28;4.2997698539597956e+27;16.7;0.83683269022112783;3.1;677
Gd2Fe14B;SunEtal1989b;phys. stat. sol. (a) 115, K219 (1989) ;;0;0;0;0;0;2;0;0;0;0;14;0;1;0;0.878;1.208;9.312278720000001e-28;4.2954040791425105e+27;17.1;0.85600655665357706;2.06;660
Gd2Fe14B;HuangEtal1986a;Journal of the Less-Common Metals, 124 (1986) 55 - 60 ;;0;0;0;0;0;2;0;0;0;0;14;0;1;0;0.8798;1.2099;9.36520723596e-28;4.2711281226549081e+27;17.3;0.86112392981562846;2.86;669
Gd2Fe14B;HuangEtal1986b;Journal of Magnetism and Magnetic Materials 60 (1986) 270-274 ;;0;0;0;0;0;2;0;0;0;0;14;0;1;0;0.8798;1.2099;9.36520723596e-28;4.2711281226549081e+27;17.3;0.86112392981562846;2.86;669
Gd2Fe14B;jurczyk1986yxcvycv;Journal of the Less-Common Metals, 124 (1986) 149 - 154 ;;0;0;0;0;0;2;0;0;0;0;14;0;1;0;0.8798;1.2099;9.36520723596e-28;4.2711281226549081e+27;17.3;0.86112392981562846;2.86;669
Gd2Fe14B;JurczykWallace1986a;;;0;0;0;0;0;2;0;0;0;0;14;0;0;0;0.8798;1.2099;9.365207235960001e-28;4.2711281226549081e+27;17.3;0.86112392981562846;2.86;669
Gd2Fe14B;KowalczykWrzeciono1988a;phys. stat. sol. (a) 110, 241 (1988) ;;0;0;0;0;0;0;2;0;0;0;14;0;1;0;0.8796;1.2095;9.3578550551999982e-28;4.2744838175039579e+27;17.3;0.86180048857310243;2.9;669
Gd2Fe14B;KowalczykWrzeciono1988b;Journal of Magnetism and Magnetic Materials 74 (1988) 260-262 ;;0;0;0;0;0;2;0;0;0;0;14;0;1;0;0.88;1.2095;9.3578550551999982e-28;4.2744838175039579e+27;17.3;0.86180048857310243;2.9;669
Gd2Fe14B;herbst1991;Reviews of Modern Physics, Yol. 63, No. 4, October 1991;https://doi.org/10.1103/RevModPhys.63.819;0;0;0;0;0;2;0;0;0;0;14;0;1;0;0.879;1.209;9.3412296900000017e-28;4.2820914726913209e+27;17.5;0.87331505017619204;2.4;661
Gd2Fe14B;Burzo1998;1998 Rep. Prog. Phys. 61 1099;;0;0;0;0;0;2;0;0;0;0;14;0;1;0;;;;;;0.893;2.5;
Gd2Fe14B;MagnetizationandmagneticanisotropyofR2Fe14Bmeasuredonsinglecrystals;J. Appl. Phys. 59 (3) 1 February 1986, 873;;0;0;0;0;0;2;0;0;0;0;14;0;1;0;0.874;1.194;9.12067944e-28;4.3856381822361254e+27;;0.893;2.5;659
Gd2Fe14B;SagawaHirosawaEtal1987d;Japanes journal of applied physics 26 (1987) 785;;0;0;0;0;0;2;0;0;0;0;14;0;1;0;0.874;1.194;;;;0.893;2.5;659
Gd2Fe14C;AbacheOesterreicher1985; J. Appl. Phys. 57, 4112 (1985); 10.1063/1.334635 ;0;0;0;0;0;2;0;0;0;0;14;0;0;1;0.8807;1.1887;9.21994340863e-28;4.3384214226910994e+27;12.4;0.62694634763558021;5.2;643
Gd2Fe14C;Burzo1998;1998 Rep. Prog. Phys. 61 1099;;0;0;0;0;0;2;0;0;0;0;14;0;0;1;;;;;;0.73;3.38;
Gd2Fe8Co6B;HuangEtal1986b;Journal of Magnetism and Magnetic Materials 60 (1986) 270-274 ;;0;0;0;0;0;2;0;0;0;0;8;6;1;0;0.8726;1.2004;9.14021484304e-28;4.3762647472623465e+27;15.3;0.78031862624959136;2.81;928
La0.58CePr0.1Nd0.32Fe12Co2B;jurczyk1988rtpdf;Journal of Magnetism and Magnetic Materials 73 (1988) 199-204 ;;0.58;1;0.1;0.32;0;0;0;0;0;0;12;2;1;0;0.8769;1.2125;9.3235625212500014e-28;4.2902055849181176e+27;;1.27;3.8;636
La0.58CePr0.1Nd0.32Fe14B;jurczyk1988rtpdf;Journal of Magnetism and Magnetic Materials 73 (1988) 199-204 ;;0.58;1;0.1;0.32;0;0;0;0;0;0;14;0;1;0;0.8785;1.2198;9.4139559255e-28;4.2490107577039139e+27;;1.26;4;488
La2Fe14B;herbst1991;Reviews of Modern Physics, Yol. 63, No. 4, October 1991;https://doi.org/10.1103/RevModPhys.63.819;2;0;0;0;0;0;0;0;0;0;14;0;1;0;0.882;1.234;9.5995821600000005e-28;4.1668480287271168e+27;28.4;1.37912285907365;2;530
Nd0.2Pr1.8Co14B;Pourarian1987;Mat. Res. Soc. Symp. Proc. Voa. 96. r'1987 Materials Research Society;;0;0;1.8;0.2;0;0;0;0;0;0;0;14;1;0;0.8648;1.1888;8.8907860275200021e-28;4.499039778506244e+27;21.1;1.1063161286865784;12.7;988
