composition,Ms
Ba5Gd8Mn4O21,328590.6481984894
Ba5SrLa2Fe4O15,418470.1445928246
Ba5SrNd2Fe4O15,431826.43858699006
Ba6Eu(ClF6)2,77824.90294971492
Ba6Gd(ReO6)3,150552.2571434734
Ba6Gd2Al4O15,291402.4528152663
Ba6Gd2Fe4O15,685248.8050372889
Ba6Gd2Ga4O15,280917.7973978043
Ba6La2Co4O15,251570.411059669
Ba6La2Fe4O15,421104.61494053557
Ba6Nd2Fe4O15,416533.98001953703
Ba6Nd2Y(MoO6)3,58222.835395155955
Ba6Pr2Co4O15,251504.18940526168
Ba6Pr2Fe4O15,414872.2995232597
Ba6Pr2Mg(Ru2O9)2,94949.63099802558
Ba6Y2Ru3PtO18,121918.73042595354
Ba6Y3Co3(Cu3O11)2,159207.9343734919
Ba8Eu(BN2)6,125341.52168122414
Ba9Ca3La4(Fe4O15)2,434628.4975858116
BaCaCeCrO6,128783.5137610481
BaCaCeFeO6,256061.28015356057
BaCaCeNbO6,60739.45073758071
BaCaEuBiO6,349056.30111805804
BaCaEuFeO6,605670.3778968316
BaCaEuNbO6,365639.18894585606
BaCaEuSbO6,365371.0737653369
BaCaEuSeO6,466896.35652846424
BaCaEuWO6,431500.5734820036
BaCaGdBiO6,409569.2753620407
BaCaGdNbO6,427095.9799783109
BaCaGdSbO6,435771.4241792577
BaCaNdFeO6,206013.06476500872
BaCaNdMnO6,199034.14203522663
BaCaPrFeO6,189791.87378543481
BaCaSmFeO6,201616.21311256374
BaCe,189997.04369232868
BaCe(CoO3)2,471437.83073889633
BaCe(FeO3)2,689808.0277637066
BaCe(NiO3)2,78865.72827172879
BaCe(RuO3)2,195688.2393006153
BaCe(TcO3)2,252966.93602482261
BaCe2CoS5,130000.80407093556
BaCe2EuO6,375517.816487639
BaCe2FeS5,172150.80702236472
BaCe2MnS5,210095.24877810935
BaCeCr2O6,386053.03862700285
BaCeEuHfO6,360905.66494352475
BaCeEuNiO6,459981.71441468125
BaCeEuSbO6,461514.17084367643
BaCeEuWO6,528185.6881957075
BaCeGe,68219.87727097026
BaCeMn2O6,541173.6866180445
BaCeN2,115814.67292542374
BaCeO3,94229.97090226342
BaCePb,70060.1406680206
BaCeSc2O6,66841.82848109287
BaCeSi,69109.5412192425
BaCeTe,57359.29167148659
BaCeTe2,50681.743482617574
BaCeV2O6,226520.4974460403
BaDy,54582.455613952356
BaDy(CoO3)2,417857.3622483305
BaDy(CoO3)4,664520.4861526712
BaDy(FeO3)2,716205.9065956704
BaDy(FeO3)4,776173.3126217587
BaDy(NiO3)2,82789.0272671291
BaDy(ReO3)2,57733.55299745592
BaDy(RuO3)2,216739.86484932777
BaDy(TcO3)2,179124.20643071333
BaDy2CoO5,74921.05510786752
BaDy2CuO5,75816.66503466033
BaDy2MnO5,364445.85938354384
BaDy2NiO5,151734.53793707633
BaDyCo4O7,673686.1043835401
BaDyCr2O6,399997.79773519456
BaDyFe2O5,718011.9350869466
BaDyFe4O7,851468.8498606866
BaDyFeCuO5,381392.1522111676
BaDyMn2O6,561657.2664072651
BaDyMn4O12,630712.0155508438
BaDyO3,105187.65496734269
BaDyTi4O12,116763.4977047258
BaDyV2O6,234173.32346869833
BaEr(CoO3)2,429089.9059142466
BaEr(FeO3)2,719492.9987352719
BaEr(NiO3)2,83423.78829842588
BaEr(ReO3)2,62856.77728132458
BaEr(RhO3)2,53010.282122578035
BaEr(RuO3)2,217374.27278363868
BaEr(TcO3)2,182691.81546662337
BaEr2CoO5,76401.45032799526
BaEr2CuO5,77160.91339734044
BaEr2NiO5,154437.2806116024
BaErCr2O6,402039.6201969062
BaErFe4O7,820991.3760740389
BaErMn2O6,564647.7482920724
BaErO3,106958.89982918842
BaErSc2O6,69595.65613142405
BaErTe,93520.31462728718
BaErV2O6,235452.34938625532
BaEu(CoO3)2,513657.6828515001
BaEu(CuO3)2,67074.59121806954
BaEu(FeO3)2,642410.3200325413
BaEu(FeO3)4,1004691.7130209064
BaEu(GeO3)4,166099.32033395904
BaEu(OsO3)2,68127.6365849363
BaEu(RhO3)2,155659.8594504335
BaEu(RuO3)2,269427.6609223507
BaEu(TcO3)2,53218.83017033829
BaEu2CoO5,124075.41918177772
BaEu2CuO5,890301.1962158728
BaEu2Mn2O7,802422.6077033875
BaEu2O4,138793.5356376503
BaEu2PdO5,142918.4302497264
BaEu2PtO5,141637.75503413842
BaEu2Sc2O7,109322.4436855842
BaEu2ZnO5,143372.57043252434
BaEu3,1066249.028955062
BaEuBiSbO6,405421.1571839346
BaEuCr2O6,320847.54665852076
BaEuCrBiO6,638301.2972905783
BaEuDyMnO6,597598.985382574
BaEuDySbO6,431351.4703575835
BaEuDySnO6,364407.5510348774
BaEuDyVO6,422761.457999148
BaEuDyWO6,492323.4615284244
BaEuFe2O5,775781.6892506542
BaEuFeBiO6,739546.4966675945
BaEuFeCuO5,841400.2898298051
BaEuFeSnO6,819418.2467240156
BaEuHfNbO6,457627.17928084073
BaEuHfSnO6,452441.48511990573
BaEuHfZrO6,438924.37536652456
BaEuInBiO6,400963.79376735544
BaEuInWO6,515440.2981717177
BaEuMgFe2O5,569513.0139475178
BaEuMn2O6,500055.74559185526
BaEuNbBiO6,408248.53410173015
BaEuNbInO6,453862.69577813917
BaEuNbSbO6,421694.0199251437
BaEuNbSnO6,404774.72351908823
BaEuO2,848733.6687450464
BaEuO3,194182.53411091436
BaEuS2,531083.3807199895
BaEuSc2O6,135670.81785829077
BaEuSnBiO6,367701.86954353866
BaEuSnWO6,404125.4751381056
BaEuTiBiO6,401519.42182943877
BaEuV2O6,158028.3668519597
BaEuV4O12,300112.56288113416
BaEuVBiO6,486213.4701095227
BaEuYBiO6,394951.32881505723
BaEuYCrO6,527305.72229159
BaEuYSbO6,430374.6098769726
BaEuYSnO6,364144.2194934713
BaEuYVO6,453060.0804673206
BaEuYWO6,492319.5251247956
BaEuZr2O6,215396.66692203123
BaEuZrNbO6,426243.1628767991
BaEuZrSnO6,442578.84314035595
BaGd(CoO3)2,369623.8163195972
BaGd(FeO3)2,711787.9116390193
BaGd(NiO3)2,82069.61170495162
BaGd(RuO3)2,214477.92495588143
BaGd(TcO3)2,170066.96146133827
BaGd2Au,58822.816367084946
BaGd2CoO5,73175.60729476424
BaGd2CuO5,73870.86848014871
BaGd2Mn2O7,480372.5008987546
BaGd2NiO5,148017.91182801803
BaGdCo2O5,941013.2825713804
BaGdCr2O6,397650.96216760005
BaGdCuBO5,564519.3600347819
BaGdFe2O5,710892.8161977339
BaGdFe4O7,984712.4229658297
BaGdFeCuO5,454861.32141634944
BaGdGe,55374.261812459394
BaGdInWO6,418167.2650176666
BaGdMn2O6,557943.9498021323
BaGdNbSnO6,422492.44159472507
BaGdO3,101283.37874612081
BaGdSi,54420.042892393074
BaGdV2O6,232904.77598474332
BaHo(CoO3)2,287276.96968655795
BaHo(FeO3)2,718400.0316002003
BaHo(NiO3)2,83352.74556662288
BaHo(ReO3)2,59849.20049892903
BaHo(RuO3)2,216014.07142048486
BaHo(TcO3)2,182262.35679956924
BaHo2CoO5,75841.21397333132
BaHo2CuO5,76515.74110756126
BaHo2NiO5,153172.3510879149
BaHoCo4O7,676210.7577942888
BaHoCr2O6,399735.73009022546
BaHoFe4O7,815835.3613178132
BaHoMg(CoO3)2,109975.4067773436
BaHoMn2O6,563356.2288194366
BaHoO3,104301.56852100835
BaHoTe,106012.70807275771
BaHoV2O6,234900.7895168034
BaLa(CoO3)2,447099.5917315781
BaLa(FeO3)2,689102.0583476794
BaLa(NiO3)2,50643.56525748431
BaLa(ReO3)2,74340.3601465881
BaLa(RuO3)2,197458.16330311866
BaLa(TcO3)2,241415.70057903015
BaLa2(CoO3)3,335577.96084424504
BaLa2CoS5,130039.10332743889
BaLa2Fe2O5F4,511131.3242532249
BaLa2Fe2O7,558284.5041360778
BaLa2FeS5,166409.4332014273
BaLa2Mn3O9,543878.237310426
BaLa2MnS5,210540.60824411944
BaLa2TiCr2O9,297756.9341554888
BaLa3(CoO3)4,462656.31850042305
BaLa3(NiO4)2,142582.10860483113
BaLa3Mn4O10,654416.3296544479
BaLa3Mn4O12,561465.9983173874
BaLa4(CoO3)5,214820.0501943614
BaLa4FeCu4O13,149261.82852094507
BaLa4Mn5O15,570149.6172590891
BaLa4TiCr4O15,359675.69202847185
BaLa5TiCr5O18,375860.3209092304
BaLaBi,60997.06727635083
BaLaCo2O5,437767.0033800048
BaLaCoIrO6,351040.61810868845
BaLaCoSbO6,204904.26968284362
BaLaCr2O6,386336.81046624866
BaLaCrMoO6,349091.8548848455
BaLaEuSbO6,404339.20989538217
BaLaEuWO6,452705.78190271393
BaLaEuZnO5,406178.1588770386
BaLaFeO4,444213.09903253586
BaLaGe,67439.01952527728
BaLaMg(CoO3)2,284480.8683179168
BaLaMgMn2O6,327676.60141048493
BaLaMgNiRuO6,60854.28087337317
BaLaMgRuO6,213000.0716621725
BaLaMgZnRuO6,59619.07207512409
BaLaMn2O6,531456.2185247334
BaLaMnInO6,201981.14462396345
BaLaMnMoO6,401126.5471084771
BaLaMnRuO6,542785.6502016919
BaLaMnSnO6,268175.0449549165
BaLaNdMn3O9,550297.301165213
BaLaNiRuO6,360625.9846949727
BaLaO3,94771.24265828913
BaLaPrMn3O9,546909.9639592071
BaLaSc2O6,65855.57466316817
BaLaSi,70270.83584987593
BaLaSmCuO5,68113.5859254995
BaLaSmMn3O9,550943.8137866114
BaLaTaMnO6,329929.0111330614
BaLaTe,121392.44283901867
BaLaTiCrO6,219997.63132565588
BaLaTiCuO6,118534.67145497343
BaLaV2O6,226831.77126219636
BaLaZnRuO6,209829.42032790327
BaLiGd2(MoO4)4,418428.9176199363
BaLu2CoO5,78920.4937136023
BaLu2CuO5,79594.56136796538
BaLu2NiO5,159634.68110899554
