#mammos csv v1
#SpontaneousMagnetization,ExchangeStiffnessConstant,UniaxialAnisotropyConstant,CoercivityHcExternal,Remanence,MaximumEnergyProduct,,,
#https://w3id.org/emmo/domain/magnetic_material#EMMO_032731f8-874d-5efb-9c9d-6dafaa17ef25,https://w3id.org/emmo/domain/magnetic_material#EMMO_526ed2a5-a017-590e-8eb8-8a900f2b3b78,https://w3id.org/emmo/domain/magnetic_material#EMMO_49a882d1-9ce7-522b-91e7-3a460f25f5ac,https://w3id.org/emmo/domain/magnetic_material#EMMO_fe101d1d-f1f7-54f8-886b-fa6d6052ce98,https://w3id.org/emmo/domain/magnetic_material#EMMO_8fc78216-4859-53c2-b41e-e38062b04054,https://w3id.org/emmo/domain/magnetic_material#EMMO_e1028129-c23e-57ac-9174-2f34ddbf3926,,,
#A / m,J / m,J / m3,A / m,A / m,J / m3,rad,,
Ms (A/m),A (J/m),K (J/m^3),Hc (A/m),Mr (A/m),BHmax (J/m^3),relative_angle,calculator,file_path
2444307.086833943,2.925531147712685e-10,6677136.261200362,1445711.9224414586,871326.6487922748,79309.82938650667,1.2053759878514296,mumax3_MinDriver,mumax_mindrive_data/data/output_165320_813
4289009.74673751,7.345431040275191e-10,8349293.964748109,1600648.9445070326,3809389.852181635,1544460.340097052,0.4726541488188257,mumax3_MinDriver,mumax_mindrive_data/data/output_165320_1278
327026.66829808924,2.329013372384468e-10,1455997.0810540302,895273.1578987386,41663.31376724428,231.04825140495717,1.4431944677320698,mumax3_MinDriver,mumax_mindrive_data/data/output_165319_533
1622700.6446966429,9.65789213692973e-10,7692727.618994197,4795813.85104339,1581519.9172061468,346452.3387217795,0.22563867310082913,mumax3_MinDriver,mumax_mindrive_data/data/output_157907_1271
5511458.279500102,1.4128778509316622e-10,7441923.850751705,43318.67744632408,114062.8307322458,653.0857308024603,1.424297325296066,mumax3_MinDriver,mumax_mindrive_data/data/output_157907_923
381920.8721510088,5.812312007556074e-10,665868.112329121,1960592.2556334783,377940.0009169884,19899.818909180587,0.14503854340884906,mumax3_MinDriver,mumax_mindrive_data/data/output_164794_235
1167130.830703343,6.737774560231304e-10,2954023.3059986234,2163554.5036060023,1044716.9662072544,146088.77815256183,0.4622827393482014,mumax3_MinDriver,mumax_mindrive_data/data/output_165320_947
6676756.722630495,5.98496806340669e-10,7742533.142707326,423289.0196154838,1556951.6754167038,101480.24544168566,1.3330996334881398,mumax3_MinDriver,mumax_mindrive_data/data/output_165319_1365
4695690.659200883,5.963179121766555e-10,2157517.0058472794,310777.24366029724,3615233.292814633,475715.0757799304,0.6789541699053093,mumax3_MinDriver,mumax_mindrive_data/data/output_165319_1668
1148750.114432152,4.4816994419414093e-10,5662760.074238128,3955655.1982722655,899192.3638610198,108594.89692168366,0.6716424625438772,mumax3_MinDriver,mumax_mindrive_data/data/output_165319_1266
4468662.511022662,8.854265529092685e-10,9257124.756900514,174969.95593994754,240378.596385194,4189.492356835975,1.5185086191390618,mumax3_MinDriver,mumax_mindrive_data/data/output_165320_750
3230949.931048721,7.650692686914857e-10,1463970.587072001,344619.2836479057,2270739.7897493225,221478.69313311015,0.7967030658770745,mumax3_MinDriver,mumax_mindrive_data/data/output_157907_1998
5999072.921230783,8.3052597903346e-10,7369944.532969782,870800.1438458291,3327974.571780004,577325.9298099627,0.9750237773223809,mumax3_MinDriver,mumax_mindrive_data/data/output_165319_1289
3187431.883779718,4.082391362749853e-10,7014233.973852059,431010.73177184,396625.46055930015,13682.275114607086,1.4464919755839678,mumax3_MinDriver,mumax_mindrive_data/data/output_165319_941
2743349.1433860213,7.8706028901522e-10,6812233.411335415,1881580.1482815617,1626474.5072775765,277588.71549660753,0.9359039867688681,mumax3_MinDriver,mumax_mindrive_data/data/output_157882_1264
6348364.0354185095,2.6312860899259365e-10,7787039.069255835,539273.4183922663,2502606.6795343,275923.5439749469,1.1752937435830013,mumax3_MinDriver,mumax_mindrive_data/data/output_165319_745
699112.5753554691,7.685437304796552e-10,2836740.2304994594,3257466.4067049623,549928.7397895295,41055.49683611386,0.6657961873073879,mumax3_MinDriver,mumax_mindrive_data/data/output_165319_621
1621311.7131885376,9.424484015347752e-10,8435294.33240135,4437659.040370262,1446974.6435209578,284155.6091492408,0.4680029643729606,mumax3_MinDriver,mumax_mindrive_data/data/output_165320_407
3132189.3343462907,7.708505929496013e-10,5769328.213810815,1753403.5791056475,2994875.6153198825,1136745.3600458223,0.29124505558423114,mumax3_MinDriver,mumax_mindrive_data/data/output_157882_625
4633997.35887912,6.332648114724045e-10,8646432.61874162,1420101.758519411,2851305.119413105,638978.2926719772,0.9031005336860913,mumax3_MinDriver,mumax_mindrive_data/data/output_165320_39
7764534.997452168,1.058185652088098e-10,4297206.103013838,81080.82332653583,249559.25007567517,2826.807820749894,1.4281507958533968,mumax3_MinDriver,mumax_mindrive_data/data/output_157882_764
5953017.220084222,7.260155866886926e-10,6725052.4846482985,852244.0486877175,4583766.487313754,1167700.0231838513,0.6735316194178902,mumax3_MinDriver,mumax_mindrive_data/data/output_165319_1841
7180018.47398854,5.846895820453044e-10,7986905.618274856,481042.7312599463,5751757.579309446,1531727.4064800255,0.6195108755482343,mumax3_MinDriver,mumax_mindrive_data/data/output_165319_1428
708646.3095533667,4.4410176646965324e-10,257955.91116890396,441070.0376581672,705155.0571804615,68255.17363575536,0.10101450535413846,mumax3_MinDriver,mumax_mindrive_data/data/output_157882_1
5822224.963510045,9.250071074013741e-10,688440.566413624,14121.37947983807,546060.8350121353,1469.2353869665512,1.3493969965864088,mumax3_MinDriver,mumax_mindrive_data/data/output_157907_396
4627676.019594235,4.0208054070135284e-10,3373368.5576406657,593222.9831873347,4553538.038412876,1785823.73626534,0.03548006827223269,mumax3_MinDriver,mumax_mindrive_data/data/output_157882_896
2525246.3011135804,1.0174460900606672e-10,9538550.86021548,2668792.867595138,1327652.0640431189,202859.83586998627,1.0167081145405341,mumax3_MinDriver,mumax_mindrive_data/data/output_165319_1603
6820816.510005069,7.453990728749198e-10,2683555.841866151,16172.5250843138,238603.8037852414,1424.2281979652987,0.1854033620311382,mumax3_MinDriver,mumax_mindrive_data/data/output_157907_729
1973202.4197556556,9.571481729781323e-10,9948866.241317475,3218437.1230073697,886120.0959870426,96689.91386240195,1.1050789991640289,mumax3_MinDriver,mumax_mindrive_data/data/output_157907_24
2865913.642258859,8.90679639228194e-10,1067419.1415477928,287037.653996894,1908950.8382621603,147757.3373684687,0.8474895505871711,mumax3_MinDriver,mumax_mindrive_data/data/output_165320_195
7151505.779823668,8.514340098371864e-10,7099944.650036091,675703.7880550479,4481887.332773209,806788.0178678343,0.8625591255193282,mumax3_MinDriver,mumax_mindrive_data/data/output_165319_1394
1750972.8173823475,8.134626870900217e-10,1165137.916606297,441573.0072858467,834237.0873439262,49906.76565562921,1.0748313542922214,mumax3_MinDriver,mumax_mindrive_data/data/output_165320_1966
3300486.4186888123,6.372483989874954e-11,9961370.727063669,926440.9323530236,650809.0424123246,40921.766459010665,1.3718640634887018,mumax3_MinDriver,mumax_mindrive_data/data/output_157907_1832
7888379.932929229,6.931736176805433e-10,4728860.420649632,144709.84159049473,2235718.0964688407,43653.17642628271,0.8418732590304969,mumax3_MinDriver,mumax_mindrive_data/data/output_157907_1149
7110207.541838853,7.804664703584807e-10,9077794.160385609,885491.3818264139,3811469.453276822,678032.8478200771,0.995713605607853,mumax3_MinDriver,mumax_mindrive_data/data/output_157882_1109
3084970.294894101,8.842701014171512e-10,1744963.4058004636,179389.47448993823,652228.9494334481,17897.28437622072,1.3617587831585052,mumax3_MinDriver,mumax_mindrive_data/data/output_157882_1039
2346185.2050274424,8.498690763024528e-10,5270536.187495901,1822978.1155854107,1932116.996583331,444308.5451048614,0.60261725028496,mumax3_MinDriver,mumax_mindrive_data/data/output_157882_1510
2649209.7074311287,6.108456619809016e-10,5055994.60316663,1512937.7056071374,2055695.6757552887,457432.8971411568,0.6813627681621494,mumax3_MinDriver,mumax_mindrive_data/data/output_157882_439
3383477.8212332493,1.8480228527315328e-10,1454617.4479822349,134173.5372763041,779035.7383263614,22026.405212885908,1.4287137579841083,mumax3_MinDriver,mumax_mindrive_data/data/output_157882_943
3916783.10051476,6.48669428016352e-10,4717855.416584352,948257.3268740596,3218578.793298322,846989.8958191143,0.6040155158754962,mumax3_MinDriver,mumax_mindrive_data/data/output_157882_1561
1898674.1009576125,1.2144596551518879e-10,6289688.955599778,2138993.237966568,866536.9049265194,87641.43851508282,1.0965362250548116,mumax3_MinDriver,mumax_mindrive_data/data/output_157882_1869
