composition,Tc_sim
Co₂TiSi,630.0
Co₂TiSn,572.0
Co₂ZrSn,603.0
Cr(II)-doped ZnS,532.0
Cr(II)-doped ZnS with 1 N,298.0
Cr-25%Fe,800.0
Cr-doped AlP,600.0
Cr-doped In2O3,273.0
Cr-doped MoI3,320.671
Cr-doped TiI3,248.0
Cr0.01Ge0.99,126.0
Cr0.15Bi1.85Se3,20.0
Cr0.25Ti0.75N,60.0
Cr0.62Te,230.65
Cr0.6Te,237.0
Cr2AlC,73.0
Cr2CoGa,320.0
Cr2CuO4,122.0
Cr2FeGe,748.0
Cr2Ge2Te6,62.3
Cr2H3,227.0
Cr2O3,460.0
Cr2S3,215.0
Cr2Se3,300.0
Cr2TeAs,608.0
Cr2TeP,583.0
Cr2TeSb,597.0
Cr3C2,886.0
Cr3Te4,332.5
Cr4.876Te8,245.0
Cr4Te5,318.9
Cr5Te8,331.0
CrBr3,59.5
CrCl3,66.0
CrGeTe3,106.0
CrI3,45.0
CrIAs,833.0
CrMnS2I2,312.0
CrO2,393.0
CrOCl,64.0
CrOF,215.0
CrSI,846.0
CrSI (V_Cr),200.0
CrSI (V_I),706.0
CrSI (V_S),626.0
CrTe,340.0
CrTe2,59.0
CrTiRhAl,385.0
CsSe,390.0
CsZrO3,639.0
Cu-doped GaP,273.0
Cu-doped ZnO,350.0
Cu-doped ZnS (bulk),350.0
Cu0.125Sr0.875O,203.01
Cu0.4Zn0.6Fe2O4,372.0
Cu0.875Mn0.125AlS2,130.0
Cu0.875Mn0.125GaS2,130.0
Cu0.875Mn0.125GaSe2,130.0
Cu18Al25Ho57,22.2
Cu18Al25Tm57,4.9
Cu2AlMn,615.5
Cu2F5,6.8
Cu2MnAl,630.0
Cu2MnIn,500.0
Cu2OSeO3,58.0
CuBr2,74.0
CuCr2S4,380.0
CuCr2Se4,420.0
CuCr2Te4,300.0
CuFe2O4,982.15
CuGa0.5Mn0.5Se2,142.0
CuGa0.75Mn0.25Se2,114.0
CuMnSe2,160.0
CuSeO3 (Orthorhombic),26.0
Dy,90.0
Dy0.33Ho0.33Er0.33Al2,33.0
Dy117Co58Sn111,30.0
Dy12Co7,64.0
Dy2CdS4,273.67
Dy2Co2Al,58.0
Dy2Fe12Mn5,232.0
Dy2Fe14B,598.0
Dy2Fe14Ga3,557.0
Dy2FeAlO6,7.8
Dy2In,130.0
"Dy3(Fe,Mo)29",408.0
Dy33.3Ho33.3Co33.4,35.0
Dy36Ho20Co20Al24,23.0
Dy3Al2,94.0
Dy3Co,44.0
Dy3Co3.25Al0.75,100.0
Dy3Co8Sn3,72.0
Dy3Ni8Si,17.0
Dy50Gd7Al23Co20,26.0
Dy5CuPb3,45.0
Dy5Ge4,46.0
Dy5Ni2In4,105.0
Dy6FeBi2,134.0
Dy6MnBi2,370.0
DyAl2,56.0
DyB2C2,15.3
DyCo2,140.0
DyCo3B2,22.0
DyCoAl,37.0
DyCoNi,68.0
DyCu4Au,8.0
DyFe4Ge2,988.0
DyFeAl,129.0
DyFeSi,70.0
DyMn2Ge2,40.0
DyN,21.0
DyNi2,21.0
DyNi2B2C,10.0
DyNi2Si,16.5
DyNi4Si,15.6
DyNi5,11.6
DyNiIn,30.0
DyPd2Si,9.0
DyPtIn,38.0
DyPtMg,29.0
DyZn,135.0
Er,20.0
Er(Co0.9Ni0.1)2,13.0
Er0.2Tb0.8Co2,200.0
Er0.4Ho0.6Rh4B4,1.9
Er1/2Ho1/2,33.0
Er20Dy20Co20Al20Gd20,43.0
Er2Co2Al,32.0
Er2Co2Ga,25.5
Er2Co3Al9,5.0
Er2Cu2Cd,36.0
Er2Cu2In,35.7
Er2Fe14Si3,498.0
Er2Fe17,302.0
Er2Ni2Ga,7.1
Er2Rh3Ge,21.0
Er32Tm24Co24Al20,11.0
Er3Ni2,17.0
Er3Pt23Si11,3.4
Er4NiCd,5.9
Er4PdMg,21.5
Er4PtMg,15.0
Er50Al7Co20Y6,52.0
Er5Si4,30.0
Er60Co20Ni20,11.5
Er60Cu20Al20,13.3
ErAgAl,14.0
ErAl2,12.0
ErCo2,34.0
ErCoNi,23.0
ErFeAl,55.0
ErFeSi,22.0
ErGa,30.0
ErMn2Si2,5.5
ErNi2,6.6
ErNi5,9.0
ErNiAl2,5.1
ErNiIn,9.0
ErPtIn,10.75
ErRuSi,8.0
ErZn,20.0
ErZn2,9.0
Eu0.5Sr0.5CoO3,154.0
Eu0.7Sr0.3MnO3,80.0
Eu14MnSb11,92.0
Eu2Si5N8,24.0
Eu2SiN3,13.0
Eu3S4,3.1
Eu4As3,18.0
Eu8Ga12Ge34,20.4
Eu8Ga12Si4Ge30,20.0
Eu8Ga14Ge32,27.0
Eu8Ga14Mn2Ge30,29.9
Eu8Ga15Mn1Ge30,32.3
Eu8Ga15Ni1Ge30,32.5
Eu8Ga16Ge30,34.7
Eu8Ga16Ge30 (Type-VIII),10.5
Eu8Ga16Si4Ge26,31.0
EuAgCd,27.0
EuAl2Ge2,27.5
EuAl2Si2,35.5
EuAuGe,33.0
EuB6,15.0
EuBaCo2O5.654,300.0
EuCu3.8P2,32.0
EuCu4As2,35.0
EuMg2,30.0
EuMg2H6,27.2
EuO,76.5
EuPdIn2,14.5
EuS,16.0
EuSi2O2N2,4.5
EuSiO4,7.0
EuZn1.25Al2.75,25.0
EuZnGa3,14.0
FM Nanoparticle,284.0
Fe,1043.0
Fe (Iron),1043.0
Fe (bcc),1043.0
Fe-32%Cr,1020.0
Fe-Bi2Se3,30.0
Fe-Cr (up to 12.9% Cr),1200.0
Fe-Pt,750.0
Fe-doped TiI3,40.0
Fe-implanted p-GaN,250.0
Fe/Au,1057.0
Fe/FeF2,1043.0
Fe/Tb multilayer,960.0
Fe0.05Ge0.95,233.0
Fe0.125Co0.125Sn0.75O2,684.0
Fe0.125Mn0.125Sn0.75O2,884.0
Fe0.125Ti0.125Sn0.75O2,393.0
Fe0.125V0.125Sn0.75O2,207.0
Fe0.25TaS2,160.0
Fe0.4Ge0.6,300.0
Fe0.5Co0.5,1242.0
Fe0.5Co0.5NiMnGa,510.7
Fe0.5Mn0.1Al0.4,300.0
Fe0.6Co0.4Si,53.72
Fe0.799Zn0.201,900.0
Fe0.8Co0.2Si,36.0
Fe0.98Cr0.02S1.97N0.03,412.16
Fe0.98Cr0.02S2,343.82
Fe0.98V0.02S1.97N0.03,372.37
Fe1-xSix (x ≈ 0.25),860.0
Fe1.2Co0.0P0.6Si0.4,573.514963538001
Fe1.2Co0.1P0.6Si0.4,597.918282095299
Fe1.2Co0.2P0.6Si0.4,605.297634788377
Fe1.2Co0.4P0.6Si0.4,620.053202694647
Fe1.65V1.35O4,295.0
Fe1.8Co0.0P0.8Si0.2,671.893782859499
Fe1.8Co0.3P0.8Si0.2,631.599128677014
Fe1.8Co0.4P0.8Si0.2,657.891210125992
Fe1.8Co0.5P0.8Si0.2,663.375524967617
Fe1.8Co0.6P0.8Si0.2,657.514712539611
Fe1.8Co0.7P0.8Si0.2,659.212089158214
Fe1.8Li0.2P,800.0
Fe1.9Co0.2P0.9Si0.1,775.56866822943
Fe1.9Co0.3P0.9Si0.1,794.299423151912
Fe1.9Co0.4P0.9Si0.1,760.053830190624
Fe1.9Co0.5P0.9Si0.1,752.297979911164
Fe1.9Co0.6P0.9Si0.1,753.995356529768
Fe1.9Co0.8P0.9Si0.1,732.811092336033
Fe1.9Co0.9P0.9Si0.1,721.268303833552
Fe1.9Co1.0P0.9Si0.1,713.512453554092
Fe10Ni70B19Si1,186.88
Fe11Ni5Si4,650.0
Fe12.5Mn42.5Al45,363.0
Fe13Ni67B19Si1,268.47
Fe16Ni64B19Si1,341.82
Fe17.5Mn35Al47.5,308.0
Fe2.19N,167.0
Fe2.85N,520.0
Fe2/Au,582.0
Fe20.4Ni59.6B20,393.15
Fe23B6,630.0
Fe23Tb6,586.15
Fe24Co24Ni24Si13B9Cr6,1023.0
Fe24Co24Ni24Si13B9V6,973.0
Fe25Ni75,875.0
Fe2AlB2,294.0
Fe2B,1024.075
Fe2BO4,155.0
Fe2C,685.5
Fe2CoAl,830.0
Fe2CoS,1290.0
Fe2CoSi,1023.0
Fe2FeSi,863.0
Fe2MnSi,228.0
"Fe2MnSi (Yoon and Booth, 1974)",214.0
Fe2MnSi0.56P0.44,300.0
Fe2N,9.0
Fe2P,216.0
Fe2P0.65Si0.35,660.15
Fe2P0.85B0.15,543.15
Fe2Si,780.0
Fe2Ti0.5Co0.5Si,790.0
Fe3B,786.0
Fe3BO5,81.5
Fe3BO6,508.0
Fe3C,483.0
Fe3C (cementite),488.0
Fe3Ga,798.15
Fe3Ge,567.5
Fe3Mn2Sn3,363.0
Fe3O4,850.0
Fe3O4 (Hollow),858.0
Fe3O4 (Solid),858.0
Fe3P,716.15
Fe3Pd5,701.19
Fe3Pd5 (12.5% B),1035.56
Fe3Pd5 (18.75% B),570.51
Fe3Pd5 (6.25% B),542.57
Fe3Pt,440.0
Fe3Se4,455.0
Fe3Si,848.575
Fe3Sn,725.0
Fe3Zr,550.0
Fe40Ni40P14B6,540.0
Fe42.5Co42.5Nb7B8,1173.0
Fe44Co44Zr7B4Cu1,1245.5
Fe4N,750.0
Fe5 Si0.85Ge0.15B2,926.0
Fe5 Si0.8Ge0.2B2,920.0
Fe5 Si0.9Ge0.1B2,911.0
Fe50Mn22.5Ga27.5,163.0
Fe56Co14B6Cu4Si3Al5Ga2P10,578.0
Fe58Mn2Co18Nb6B16,598.0
Fe5B2P,627.0
Fe5PB2,741.5
Fe5Si1-xGexB2,903.0
Fe5SiB2,784.5
Fe60Co20P14B6,729.15
Fe60Cr14Cu1Nb3Si13B9,226.0
Fe62Cr6Nb4Y6B22,285.0
Fe64Cr4Nb4Y6B22,336.0
Fe65.5Cr4Mo3Cu1Ga4P12C5B5.5,500.0
Fe65.6V34.4,315.3
Fe65Mn15B20,328.0
