#mammos csv v2
#----------------------------------------
# Micromagnetic hysteresis simulations of a 50 nm single-grain cube with randomly sampled Ms, A, and K1. Applied field and anisotropy axis aligned with the cube edge. Source: https://github.com/MaMMoS-project/BSW_data_generation
#----------------------------------------
#SpontaneousMagnetization,ExchangeStiffnessConstant,UniaxialAnisotropyConstant,DemagnetizingFactor,CoercivityHcExternal,Remanence,MaximumEnergyProduct,
#https://w3id.org/emmo/domain/magnetic_material#EMMO_032731f8-874d-5efb-9c9d-6dafaa17ef25,https://w3id.org/emmo/domain/magnetic_material#EMMO_526ed2a5-a017-590e-8eb8-8a900f2b3b78,https://w3id.org/emmo/domain/magnetic_material#EMMO_49a882d1-9ce7-522b-91e7-3a460f25f5ac,https://w3id.org/emmo/domain/magnetic_material#EMMO_0f2b5cc9-d00a-5030-8448-99ba6b7dfd1e,https://w3id.org/emmo/domain/magnetic_material#EMMO_fe101d1d-f1f7-54f8-886b-fa6d6052ce98,https://w3id.org/emmo/domain/magnetic_material#EMMO_8fc78216-4859-53c2-b41e-e38062b04054,https://w3id.org/emmo/domain/magnetic_material#EMMO_e1028129-c23e-57ac-9174-2f34ddbf3926,
#A / m,J / m,J / m3,,A / m,A / m,N / m2,
Ms,A,K1,D,Hc,Mr,BHmax,filepath
2852968.5463715196,8.484119482281629e-12,7811729.052247573,0.3333333333333333,2313696.474454069,2843365.3867582865,2535563.5943902833,data/346982_108_2/parameters.yaml
659111.5823092683,7.746795885810858e-12,5413884.633914272,0.3333333333333333,,,,data/346982_108_3/parameters.yaml
403976.5111973392,5.913440900043285e-12,5329001.730420186,0.3333333333333333,,,,data/346982_109_0/parameters.yaml
2389850.419903306,6.9289963352157496e-12,2303602.6649615923,0.3333333333333333,527154.0656758387,2347698.716630357,1681023.9380211858,data/346982_109_1/parameters.yaml
1433386.1075199558,3.727641993496914e-12,1931503.5312472996,0.3333333333333333,1207566.8051277092,1428509.3886422135,639976.2302641167,data/346982_109_2/parameters.yaml
594942.9749183895,4.657454798726179e-12,1781991.9190847299,0.3333333333333333,4048489.9136271575,594780.6508873055,111135.54060518088,data/346982_109_3/parameters.yaml
2355075.321255142,8.136551516451608e-12,495471.7434008259,0.3333333333333333,30200.427586507434,134654.4084126471,887616.4713508507,data/346982_10_0/parameters.yaml
3339105.412223751,8.7247392886009e-12,4185355.98775502,0.3333333333333333,531138.3069440556,3266127.6298394017,3212710.8319125073,data/346982_10_1/parameters.yaml
1674784.0427469714,9.226728796295582e-12,7180525.3920149375,0.3333333333333333,5122788.690614009,1673739.6229872894,879994.5314024095,data/346982_10_2/parameters.yaml
1224195.4252939054,6.440957758912326e-12,2981870.261370178,0.3333333333333333,2842891.4594614203,1223088.8925853996,469872.4902923481,data/346982_10_3/parameters.yaml
325530.56359189,5.618452306082705e-12,3024384.354766799,0.3333333333333333,,,,data/346982_110_0/parameters.yaml
1918323.2121859847,6.315800899142456e-12,2046886.882202689,0.3333333333333333,769874.1175196962,1901028.6850696239,1124944.082842335,data/346982_110_1/parameters.yaml
1369965.7871081796,1.4570406103940862e-12,272890.6704603397,0.3333333333333333,31758.715578969728,144283.10531252722,370406.24146566977,data/346982_110_2/parameters.yaml
2291698.628238712,9.15085947591833e-12,411477.16365865717,0.3333333333333333,31435.886453118583,138978.26961965326,804106.5878458925,data/346982_110_3/parameters.yaml
1607768.402700485,9.621529331247587e-12,4031077.19594405,0.3333333333333333,2771269.556811224,1605595.5424508632,809574.6988394163,data/346982_111_0/parameters.yaml
2535126.092854963,4.563780657524569e-12,3182512.576068456,0.3333333333333333,658472.1977123927,2503799.6658778125,1936272.6326575517,data/346982_111_1/parameters.yaml
1481898.9538648536,9.142544286655624e-12,7767138.72775422,0.3333333333333333,6602930.395705692,1481301.2278257664,689311.3399930018,data/346982_111_2/parameters.yaml
1613936.9633945597,7.848909018315554e-12,7595974.112781084,0.3333333333333333,5707684.024406045,1613097.0488686436,817401.1986946808,data/346982_111_3/parameters.yaml
208351.30078018413,7.455551362068599e-12,5606280.463206762,0.3333333333333333,,,,data/346982_112_0/parameters.yaml
1662482.7402125618,6.6695893660579806e-12,206475.49282029344,0.3333333333333333,27025.209316518165,122739.27234805468,415155.53539652535,data/346982_112_1/parameters.yaml
713261.3391798969,8.782661902157816e-12,1056267.2454882618,0.3333333333333333,1935701.7341872114,712721.7428249404,159559.7196083563,data/346982_112_2/parameters.yaml
2132884.109935708,8.369088687932572e-12,4348771.17486836,0.3333333333333333,1840207.977409404,2125849.358116434,1417428.0570691118,data/346982_112_3/parameters.yaml
2209470.569110307,8.67409031837376e-12,1362379.1793980056,0.3333333333333333,284367.07152809587,2136654.354893798,1346341.4254381626,data/346982_113_0/parameters.yaml
256648.02869570494,5.3950802856868745e-12,2854812.791079683,0.3333333333333333,,,,data/346982_113_1/parameters.yaml
1736851.1180802633,8.892141587202005e-12,2336340.7789790807,0.3333333333333333,1215516.638563956,1728792.2198096027,936218.062267218,data/346982_113_2/parameters.yaml
1382505.561480892,7.1350828011229445e-12,1392715.764831396,0.3333333333333333,933013.5237847418,1375550.2325334048,592464.1472597042,data/346982_113_3/parameters.yaml
3146923.214073158,9.646957026991936e-12,9594759.772230215,0.3333333333333333,2568344.746061454,3136486.3995458432,3085416.73784797,data/346982_114_0/parameters.yaml
3202367.1816567495,8.452409351143881e-12,4798993.925680316,0.3333333333333333,789770.8697005966,3158524.491737743,3071616.7565177586,data/346982_114_1/parameters.yaml
2604106.1485860306,9.658232582894958e-12,6957506.61095183,0.3333333333333333,2397252.9555020235,2596446.733064098,2115037.506367989,data/346982_114_2/parameters.yaml
1016523.2331005015,5.8327328578958234e-12,1917218.883892839,0.3333333333333333,2222185.475179261,1015513.0150116443,323902.6649624303,data/346982_114_3/parameters.yaml
1304834.9748156862,6.599080337912062e-12,228229.03133339042,0.3333333333333333,188.8883705039948,918.0009683368269,367056.36790458683,data/346982_115_0/parameters.yaml
162939.47495441895,8.047827929065715e-12,3255417.762358608,0.3333333333333333,,,,data/346982_115_1/parameters.yaml
2081659.5061818438,7.847979458267547e-12,6277642.585384786,0.3333333333333333,3085602.284016375,2078364.8889765232,1356376.0298723544,data/346982_115_2/parameters.yaml
1667029.8346039406,9.229254025677141e-12,8539495.366761385,0.3333333333333333,6284620.629350246,1666222.901986327,872139.8716118668,data/346982_115_3/parameters.yaml
384186.13554204686,8.901495612972118e-12,3347395.649888598,0.3333333333333333,,,,data/346982_116_0/parameters.yaml
1511269.4447315522,9.251110173030539e-12,5997070.371504181,0.3333333333333333,4808457.30665969,1510366.5277278891,716591.1368715091,data/346982_116_1/parameters.yaml
1763505.983667473,2.550193178188229e-12,367643.7850268495,0.3333333333333333,16150.62547549338,74401.02429682142,554081.0861074405,data/346982_116_2/parameters.yaml
686572.1703293448,8.24388528779778e-12,8201357.410283289,0.3333333333333333,,,,data/346982_116_3/parameters.yaml
2243786.9112163554,7.972830036403758e-12,3863478.355475977,0.3333333333333333,1402526.9193116655,2232623.9806300146,1560819.78705137,data/346982_117_0/parameters.yaml
2085570.5902758092,9.404991198236063e-12,336304.32795261417,0.3333333333333333,32357.50684781134,145515.82375375123,656659.484360266,data/346982_117_1/parameters.yaml
314913.78638456936,8.284278755063479e-12,4685223.695399862,0.3333333333333333,,,,data/346982_117_2/parameters.yaml
2055135.3460025426,8.814829675977678e-12,7617555.494930678,0.3333333333333333,4040533.893496806,2052897.2866010012,1323636.3052286312,data/346982_117_3/parameters.yaml
3083077.55538038,7.05883824944404e-12,1694314.8937394691,0.3333333333333333,68666.63427405371,315849.4674785195,2068960.9384306257,data/346982_118_0/parameters.yaml
3251946.727521541,9.221517957551095e-12,2663942.304975971,0.3333333333333333,213680.54786032636,3096904.3223332893,2700295.0326430597,data/346982_118_1/parameters.yaml
109036.13544916743,1.1538576292960034e-12,881723.6344340591,0.3333333333333333,,,,data/346982_118_2/parameters.yaml
