#mammos csv v1
#SpontaneousMagnetization,ExchangeStiffnessConstant,UniaxialAnisotropyConstant,,,,,CoercivityHcExternal,Remanence,MaximumEnergyProduct,
#https://w3id.org/emmo/domain/magnetic_material#EMMO_032731f8-874d-5efb-9c9d-6dafaa17ef25,https://w3id.org/emmo/domain/magnetic_material#EMMO_526ed2a5-a017-590e-8eb8-8a900f2b3b78,https://w3id.org/emmo/domain/magnetic_material#EMMO_49a882d1-9ce7-522b-91e7-3a460f25f5ac,,,,,https://w3id.org/emmo/domain/magnetic_material#EMMO_fe101d1d-f1f7-54f8-886b-fa6d6052ce98,https://w3id.org/emmo/domain/magnetic_material#EMMO_8fc78216-4859-53c2-b41e-e38062b04054,https://w3id.org/emmo/domain/magnetic_material#EMMO_e1028129-c23e-57ac-9174-2f34ddbf3926,
#A / m,J / m,J / m3,rad,rad,rad,rad,A / m,A / m,J / m3,
Ms,A,K1,k1_theta,k1_phi,h_theta,h_phi,Hc,Mr,BHmax,file_path
1381628.6825623931,6.960670555988553e-12,3395195.788049478,0.,0.,0.0178887823,1.57079632679,2825000.239881118,1380131.6352077173,598238.6895806595,data/289529_142/parameters.json
3840089.350188687,4.876078878270332e-12,4177272.9990104097,0.,0.,0.0178887823,1.57079632679,95492.96585513778,3663514.626116253,3809769.381440438,data/289529_143/parameters.json
3558297.496690028,8.002595264402498e-12,8433517.236652806,0.,0.,0.0178887823,1.57079632679,1575633.9366097655,3533980.7123470195,3900714.1869157767,data/289529_144/parameters.json
389115.7342382207,8.237438638322974e-12,1616305.987516684,0.,0.,0.0178887823,1.57079632679,5928521.630173011,389046.54835689656,47548.19845216226,data/289529_145/parameters.json
3035864.412647316,5.021027805609866e-12,1260671.2019514674,0.,0.,0.0178887823,1.57079632679,79577.47154594825,334366.06928432675,1848734.99440218,data/289529_146/parameters.json
345728.66941838653,3.076595584505423e-12,87621.6242491392,0.,0.,0.0178887823,1.57079632679,350140.8748021705,344658.4600670306,37260.77306280687,data/289529_147/parameters.json
2481531.7510597,3.596674525063363e-12,3948176.707899495,0.,0.,0.0178887823,1.57079632679,1018591.6357881314,2463183.276972739,1893313.3314714348,data/289529_148/parameters.json
2496095.7250753166,2.6985562924420928e-12,9843406.2485572,0.,0.,0.0178887823,1.57079632679,3923169.347215173,2492619.69791436,1951138.681658504,data/289529_15/parameters.json
2632089.884663649,8.912771805114114e-12,8461964.113175599,0.,0.,0.0178887823,1.57079632679,3119436.8846011176,2626439.7535625943,2165364.9213029607,data/289529_151/parameters.json
3219771.0991120595,7.769712037089814e-12,1070846.3002909145,0.,0.,0.0178887823,1.57079632679,63661.977236758736,260024.86152958265,1823761.4617912932,data/289529_152/parameters.json
2258411.252031716,7.671854953455606e-12,150918.7645659923,0.,0.,0.0178887823,1.57079632679,31830.98861837967,106962.03710769332,571963.6235043417,data/289529_153/parameters.json
1116195.19745734,8.329832645520992e-12,2174629.6828588294,0.,0.,0.0178887823,1.57079632679,2347535.410605442,1114993.851138346,390455.1668131141,data/289529_154/parameters.json
3304967.4446981875,8.834296951997988e-12,1013501.1087563104,0.,0.,0.0178887823,1.57079632679,31830.98861837967,123331.58031668291,1791481.7212156542,data/289529_155/parameters.json
2959763.384111173,2.7485740581089442e-12,1222238.8668438955,0.,0.,0.0178887823,1.57079632679,71619.72439135349,281195.5275230636,1661324.5107470974,data/289529_158/parameters.json
1980632.2101934075,1.0545942724810897e-12,4172896.2341889455,0.,0.,0.0178887823,1.57079632679,1734788.879701658,1974987.7960140416,1223807.2548428914,data/289529_159/parameters.json
