#mammos csv v1
#,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
composition,Tc_sim,Tc_sim_nemad,Tc_sim_dftv2,Tc_sim_spin,Tc_sim_re_free,Tc_exp,Tc_exp_ds1ds2,Tc_exp_re_free,Tc_exp_dftv2,Tc_exp_literature,Tc_delta,source_sim_target,source_exp_target,contains_rare_earth,pair_exists,use_for_emb,delta_info
(Er0.1Y0.8Sm0.2)Fe2,,,,,,517.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,True,False,False,exp-sim
(Er0.2Y0.6Sm0.2)Fe2,,,,,,529.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,True,False,False,exp-sim
(Er0.4Y0.4Sm0.2)Fe2,,,,,,538.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,True,False,False,exp-sim
(Er0.65Y0.35)Co3,,,,,,410.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,True,False,False,exp-sim
(Er0.6Y0.2Sm0.2)Fe2,,,,,,543.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,True,False,False,exp-sim
(Er0.7Ho0.2Dy0.1)55Ni25Al20,,,,,,3.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,True,False,False,exp-sim
(Er0.8Sm0.2)Fe2,,,,,,547.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,True,False,False,exp-sim
"(Fe, Mg, Ca, Mn)3Al2Si3O12",,,,,,,,,,,,Tc_sim not available in any source,Tc_exp not available in any source,False,False,False,exp-sim
"(Fe,Nb)23B6",,,,,,900.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,False,False,False,exp-sim
(Fe0.22Mn0.78)2Nb,,,,,,42.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,False,False,False,exp-sim
(Fe0.45Mn0.55)2Nb,,,,,,38.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,False,False,False,exp-sim
