composition,Tc_sim
CoSn31O32,892.0
Cr0.01Ge0.99,126.0
Cr0.025Cd0.975Te1,409.0
Cr0.02Fe0.98S1.97N0.03,412.16
Cr0.02Fe0.98S2,343.82
Cr0.03Cd0.97Te1,686.0
Cr0.04Cd0.96Te1,684.0
Cr0.04Ga0.96N1,540.0
Cr0.05Ga0.95N1,549.0
Cr0.05Si0.95C1,859.0
Cr0.06Fe1.8Ni0.14P1,250.0
Cr0.08Hg0.92Se1,405.5
Cr0.12Sn0.88O2,574.35
Cr0.15Bi1.85Se3,20.0
Cr0.15Sn0.85O2,651.62
Cr0.1Fe1.8Ni0.1P1,180.0
Cr0.1Ga0.9As1,621.0
Cr0.1Ge0.9Te1,25.0
Cr0.24Hg0.76Se1,449.0
Cr0.2Fe1Co1Si0.2Ni1,708.0699999999999
Cr0.62Te1,230.65
Cr0.6Te1,237.0
Cr11.2Fe68.8Si6B14,300.0
Cr1Fe1Co1Ni1Pd0.25,225.0
Cr2CdO4,309.0
Cr2CdS4,85.8
Cr2CdSe4,130.0
Cr2CuO4,122.0
Cr2CuS4,380.0
Cr2CuSe4,420.0
Cr2CuTe4,300.0
Cr2Fe20B3,341.0
Cr2FeGe,748.0
Cr2FeS4,172.0
Cr2GaCo,320.0
Cr2H3,227.0
Cr2NiO4,67.0
Cr2O3,460.0
Cr2S3,215.0
Cr2SbTe,597.0
Cr2Se3,300.0
Cr2TeAs,608.0
Cr2TeP,583.0
Cr3C2,886.0
Cr3Te4,332.5
Cr4.876Te8,245.0
Cr4Fe76CuB15Mo4,355.0
Cr4Ga4Fe65.5Cu1B5.5Mo3P12C5,500.0
Cr4Te5,318.9
Cr5Te8,331.0
Cr6Fe24Co24Si13(Ni8B3)3,1023.0
CrAg3S4,270.8
CrAg3Se4,317.2
CrAg3Te4,297.0
CrAsI,833.0
CrBr3,59.5
CrCl3,66.0
CrClO,64.0
CrCo2Sn,748.23
CrFe39(Si2B3)2,610.0
CrFeAs,842.0
CrFeCoNiPd,440.0
CrFeCoNiPd2,503.0
CrGaCo2,485.0
CrGaFeCuBMoPC,470.0
CrGaN,400.0
CrGeTe3,63.6
CrI3,45.0
CrMo(PbO3)2,480.0
CrO2,393.0
CrOF,215.0
CrPb2WO6,595.0
CrRe(PbO3)2,720.0
CrSI,846.0
CrTe,340.0
CrTe2,59.0
CsSe,390.0
CsZrO3,639.0
Cu2F5,6.8
Cu2SeO4,58.0
Cu3Ni7,293.7
CuBr2,74.0
CuH12C2(NCl2)2,8.9
CuH14C6Br3N,7.43
CuH56C24(NCl2)2,13.0
Dy,90.0
Dy(BC)2,15.3
Dy(Fe2Ge)2,988.0
Dy(MnGe)2,40.0
Dy0.25Er0.75Al2,24.0
Dy0.33Ho0.33Er0.33Al2,33.0
Dy117Co58Sn111,30.0
Dy11Ho17(Al6Co5)2,17.0
Dy12Co7,64.0
Dy17Co83,1030.0
Dy2AlCo2,58.0
Dy2AlFeO6,7.8
Dy2CdS4,273.67
Dy2Fe14B,598.0
Dy2Ga3Fe14,557.0
Dy2In,130.0
Dy2Mn5Fe12,232.0
Dy33.3Ho33.3Co33.4,35.0
Dy3Al0.75Co3.25,100.0
Dy3Al2,94.0
Dy3Co,44.0
Dy3Co8Sn3,72.0
Dy3SiNi8,17.0
Dy5(In2Ni)2,105.0
Dy5CuPb3,45.0
Dy5Ge4,46.0
Dy5Ho9Al6Co5,23.0
Dy6FeBi2,134.0
Dy6MnBi2,370.0
Dy9Ho5Al6Co5,23.0
DyAl2,56.0
DyAlCo,37.0
DyAlFe,129.0
DyCo2,140.0
DyCo3B2,22.0
DyCoNi,68.0
DyCu4Au,8.0
DyFeSi,70.0
DyHoAl2,46.0
DyInNi,30.0
DyInPt,38.0
DyMgPt,29.0
DyN,21.0
DyNi2,21.0
DyNi2B2C,10.0
DyNi5,11.6
DySiNi2,16.5
DySiNi4,15.6
DySiPd2,9.0
DyZn,135.0
Er,20.0
Er(MnSi)2,5.5
Er13Co7,12.5
Er1Co1.8Ni0.2,13.0
Er2(Al3Co)3,5.0
Er2AlCo2,32.0
Er2CdCu2,36.0
Er2Fe14Si3,498.0
Er2Fe17,302.0
Er2GaCo2,25.5
Er2GaNi2,7.1
Er2GeRh3,21.0
Er2InCu2,35.7
Er2MgS4,290.0
Er2MgSe4,301.0
Er3AlCu,13.3
Er3CoNi,11.5
Er3Ni2,17.0
Er3Si11Pt23,3.4
Er4CdNi,5.9
Er4MgPd,21.5
Er4MgPt,15.0
Er55(Al3Cu2)9,11.0
Er5Si4,30.0
Er8Tm6Al5Co6,11.0
ErAl2,12.0
ErAl2Ni,5.1
ErAlAg,14.0
ErAlFe,55.0
ErCo2,34.0
ErCoNi,23.0
ErFeSi,22.0
ErGa,30.0
ErInNi,9.0
ErInPt,10.75
ErNi2,6.6
ErNi5,9.0
ErSiRu,8.0
ErZn,20.0
ErZn2,9.0
Eu(AlGe)2,27.5
Eu(AlSi)2,35.5
Eu(Cu2As)2,35.0
Eu(MgH3)2,27.2
Eu0.0625Zn0.9375O1,720.0
Eu14MnSb11,92.0
Eu1Al2.75Zn1.25,25.0
Eu1Cu3.8P2,32.0
Eu2Si5N8,24.0
Eu2SiN3,13.0
Eu3InO,210.0
Eu3S4,3.1
Eu4As3,18.0
Eu4Ga6Ge17,20.4
Eu4Ga6Si2Ge15,20.0
Eu4Ga7Ge16,27.0
Eu4Ga8Ge15,34.7
Eu4Ga8Si2Ge13,31.0
Eu4MnGa7Ge15,29.9
Eu8Ga15NiGe30,32.5
Eu8Mn(GaGe2)15,32.3
EuB6,15.0
EuCdAg,27.0
EuGeAu,33.0
EuIn2Pd,14.5
EuMg2,30.0
EuO,76.5
EuS,16.0
EuSi2(NO)2,4.5
EuSiO4,7.0
EuZnGa3,14.0
Fe,1043.0
Fe0.05Ge0.95,233.0
Fe0.125Co0.125Sn0.75O2,684.0
Fe0.1Ni0.9O1,300.0
Fe0.25Co0.75S2,120.0
Fe0.2Ni0.8O1,300.0
Fe0.4Ge0.6,300.0
Fe0.5Co0.5,1242.0
Fe0.6Co0.4Si1,53.72
Fe0.75Ni3.55,820.0
Fe0.8Co0.2Si1,36.0
Fe1.2Co0.1Si0.4P0.6,597.918282095299
Fe1.2Co0.2Si0.4P0.6,605.297634788377
Fe1.2Co0.4Si0.4P0.6,620.053202694647
Fe1.2Si0.4P0.6,573.514963538001
