composition,Tc_sim
Gd2Ga3Co,50.0
Gd2GaCo2,76.0
Gd2GeRh3,64.0
Gd2InAu2,83.0
Gd2InCu2,94.0
Gd2MnCoO6,112.0
Gd2MnCuO6,7.5
Gd2MnNiO6,22.5
Gd2MnZnO6,6.4
Gd2Si3Ni,16.0
Gd3(AlNi3)2,104.5
Gd3(Co2Sn)4,102.5
Gd3(SiNi3)2,40.0
Gd30Al7Co13,79.0
Gd33Al54Co25,47.5
Gd33Er22(Al5Co4)5,52.0
Gd34(AlNi)33,38.0
Gd3Al2,265.25
Gd3AlCo,109.0
Gd3AlFe,202.0
Gd3Cr8Fe77B12,378.0
Gd3FeCo,210.0
Gd3Ni2,147.0
Gd3OsO7,34.0
Gd3Si11Pt23,42.0
Gd3Si2Ni,215.0
Gd3SiGe2,276.0
Gd3Y2,95.0
Gd3Y4Pd3,197.0
Gd46Al29Co19B6,81.7
Gd4Bi3,335.0
Gd4Co3,220.0
Gd4Sb3,260.0
Gd5(SiGe)2,276.0
Gd5(SiGe)4,295.0
Gd51Zr4Nb(Al6Co5)4,91.0
Gd52.5Al31Co16.5,78.75
Gd52.5Zr1Al28Co18.5,93.0
Gd53Al28Co19,62.5
Gd53Er22(Al5Co4)5,52.0
Gd53Zr3(Al6Co5)4,93.0
Gd55Al18Zn2Ni25,84.0
Gd55Al23(Co10Si)2,105.0
Gd55Al24Fe3Co17Si,117.0
Gd55Al24Fe5Co15Si,126.0
Gd55Al27(Co5Si)3,101.0
Gd55Al27.5Co17.5,95.0
Gd55Mn3(Al10Ni11)2,90.0
Gd56Zr2(Al9Ni5)3,70.0
Gd59.4Al19.8Fe1Co19.8,113.0
Gd5Al3Co2,86.0
Gd5BiIr2,119.0
Gd5Cr4Fe35B6,405.0
Gd5Cr8(Fe25B4)3,400.0
Gd5Fe0.06Si2Ge1.94,310.0
Gd5Fe0.1Si2Ge1.9,305.0
Gd5In0.05Si1.925Ge2.025,278.0
Gd5Ni0.71Bi2.29,162.0
Gd5Ni0.96Sb2.04,115.0
Gd5Sb3,226.0
Gd5Si0.15Ge3.85,40.0
Gd5Si1.3Ge2.7,180.0
Gd5Si1.72Ge2.28,242.0
Gd5Si4,336.0
Gd5Sn4,82.0
Gd5Y2Pd3,263.0
Gd6AlCo3,143.0
Gd6AlFe2Co,225.0
