#mammos csv v1
#SpontaneousMagnetization,ExchangeStiffnessConstant,UniaxialAnisotropyConstant,,,,,CoercivityHcExternal,Remanence,MaximumEnergyProduct,,
#https://w3id.org/emmo/domain/magnetic_material#EMMO_032731f8-874d-5efb-9c9d-6dafaa17ef25,https://w3id.org/emmo/domain/magnetic_material#EMMO_526ed2a5-a017-590e-8eb8-8a900f2b3b78,https://w3id.org/emmo/domain/magnetic_material#EMMO_49a882d1-9ce7-522b-91e7-3a460f25f5ac,,,,,https://w3id.org/emmo/domain/magnetic_material#EMMO_fe101d1d-f1f7-54f8-886b-fa6d6052ce98,https://w3id.org/emmo/domain/magnetic_material#EMMO_8fc78216-4859-53c2-b41e-e38062b04054,https://w3id.org/emmo/domain/magnetic_material#EMMO_e1028129-c23e-57ac-9174-2f34ddbf3926,,
#A / m,J / m,J / m3,rad,rad,rad,rad,A / m,A / m,J / m3,,
Ms,A,K1,k1_theta,k1_phi,h_theta,h_phi,Hc,Mr,BHmax,calculator,file_path
1468688.1127111262,6.538424820865811e-10,3199040.804450245,0.9140175598087924,-0.16781589381938633,1.3607882675134926,1.2176471402303506,901784.7517385909,396674.3094332825,17369.564272998472,mumax3_RelaxDriver,data/output_190244_2428
6057660.033791644,3.835632429838715e-10,2800497.2850889876,0.46035320678347,-2.7594752760848618,0.8423040595072909,1.6287527150804253,145636.05409385829,677751.5529842885,15120.794785071645,mumax3_RelaxDriver,data/output_190244_2888
6983834.453229049,2.0026153409293176e-10,2434852.5347343273,1.8290039148894068,1.8505914106619408,1.585140763502565,1.1461231943442598,12551.572991010544,46458.519713287256,85.85719779833336,mumax3_RelaxDriver,data/output_190244_2016
5353307.001770046,2.6347731952821926e-11,1920838.7807827166,0.5834721146013965,0.8420487601141599,1.6468660829525874,-1.7200882825157633,49248.890680114404,244156.51720485467,2079.2456839829065,mumax3_RelaxDriver,data/output_190244_905
6145517.659803034,3.0710246366981176e-10,665926.2340568517,0.8018115268598414,0.9038349371132232,1.2635799026368382,0.17542668454307517,93929.73621721071,534001.590630574,5882.368349775435,mumax3_RelaxDriver,data/output_190244_1013
2690429.783206834,9.44676944114587e-10,8465015.63667322,1.831880098290287,-2.7273792571603392,1.8425668319768915,-1.00522486350925,357202.20065017015,192558.1387718417,3815.801311988609,mumax3_RelaxDriver,data/output_188487_162
4740478.42395597,6.476564424411632e-10,1209078.5202322241,2.352898015207151,2.0999684367221594,1.4258042446557555,1.3296071438738455,147161.87217784097,1780994.9964455327,52209.42590357807,mumax3_RelaxDriver,data/output_190244_830
5540209.9620030625,6.494291880549403e-10,1582094.0708359843,0.631906737898196,0.04863739143430502,1.7306356475839553,1.3565558595962774,371346.532285674,1870918.346899203,103675.5684280226,mumax3_RelaxDriver,data/output_190244_886
6815019.113340973,5.31130876782413e-10,2290575.51997524,0.5013756532960268,0.05691336447564089,1.450670414254508,2.2602966873536143,169580.65941614233,740190.0228169209,19792.748833331792,mumax3_RelaxDriver,data/output_190244_1245
2516121.1959837563,5.053263119384042e-10,8523456.624847766,1.0605139872634763,0.018709806680360035,0.3283176585470068,2.682166004419006,1115663.0046801236,533438.5156447191,30559.36905076998,mumax3_RelaxDriver,data/output_190244_1109
4514953.703697631,9.795468182304254e-10,6296710.687343303,1.4605831517100771,2.1489930003472875,0.9348840477183796,1.2339826024413434,998992.2167917144,2499844.6218523257,413593.17575420236,mumax3_RelaxDriver,data/output_190244_1791
5447606.523302273,8.850137089693908e-10,4226105.490853642,1.592473601503958,-0.9044210859379935,0.3423024762894529,-1.6526383556359652,259331.29432076728,1229716.1833449309,52479.69223789997,mumax3_RelaxDriver,data/output_188487_64
2452195.3468433185,4.677841665638123e-10,3342231.754327003,1.8124503236295604,-2.015158130342204,2.77405774497321,-0.7986289711388014,700922.5451672744,842739.7937918797,58658.20654727567,mumax3_RelaxDriver,data/output_190244_1965
6030673.64853416,2.0713099051660614e-10,133791.79774464012,2.3582535729206633,-1.8231645376065104,0.6123538661256273,0.664925399071608,56810.73577291867,229874.88700874388,2003.8516410339669,mumax3_RelaxDriver,data/output_190244_1542
